logCPM	PValue	FDR	log2FoldChange
HERC2P3	3.22158644407052	6.11606477557996e-25	3.67285784680881e-23	-1.9253
LOC645553	1.8142217590344	6.4700973447246e-25	3.87272449591122e-23	-3.0714
ALKBH1	4.52161143366989	9.18983530293936e-25	5.46480890196941e-23	-1.1699
FUCA1	4.29754370957447	9.23689306937821e-25	5.47495843748599e-23	-1.2745
TMA7	7.38191909270516	1.08852527733968e-24	6.43110597511752e-23	-0.8164
GNAI2	6.85754263681247	1.30451598048367e-24	7.68233669022897e-23	-0.8764
SPA17	3.73109497574084	1.47365279329352e-24	8.65048404963556e-23	-1.4964
AGRN	7.51010161166914	2.18053604615395e-24	1.27589314290342e-22	-0.8529
GPX1	6.81571613016091	2.84757304329844e-24	1.66087199611682e-22	-1.1792
CDH23	2.16832909812097	3.16122255195192e-24	1.83633189546132e-22	-2.4758
LOC729966	0.98449518849201	3.47083203303474e-24	1.99884888312562e-22	-5.0861
XYLT1	0.919676921282137	3.88703963739535e-24	2.23150300692734e-22	-5.5611
CRIP2	3.92053508985973	5.81598485504171e-24	3.30768285089226e-22	-1.4249
HERC2P2	4.96772148609918	6.37768608063955e-24	3.60467607084073e-22	-1.0896
SIMC1	2.17420655740503	7.15590763366127e-24	4.03204474568272e-22	-2.4028
NTN1	4.54044162332764	1.07425520736586e-23	5.99743213017467e-22	-1.1413
CRIP1	5.91522338607319	1.12470348642582e-23	6.25993501469202e-22	-1.0435
FGFR3	2.73011545742066	1.15529058190463e-23	6.37189875022689e-22	-2.0369
FAM174B	4.71567850326232	1.74796684247847e-23	9.58284765053662e-22	-1.1936
TRIOBP	6.58016131958042	2.16002797910233e-23	1.18064283791893e-21	-0.85
LAMB2	5.28375717745773	2.3977023528401e-23	1.30275161170979e-21	-0.9339
PPP1R14C	3.71547826477476	3.01187877391896e-23	1.62197223883966e-21	-1.4012
VILL	1.23797461795328	3.98069532140567e-23	2.13113119611677e-21	-3.9629
HHLA3	2.5073814036556	4.17619611763993e-23	2.2292583720361e-21	-2.0818
SLC37A2	3.77422708936775	6.18687128840817e-23	3.23631868885901e-21	-1.5249
HMGCL	4.16570624114132	6.57676531259512e-23	3.43044078704961e-21	-1.1796
H6PD	5.41524484239886	7.0521843901465e-23	3.66793955061295e-21	-0.9157
MFI2	6.44637453636284	7.56819089571832e-23	3.92513900546118e-21	-0.789
CA2	1.4575422826337	7.64583932307478e-23	3.95417684651709e-21	-3.753
KCNS3	4.41073087442544	8.28326116756708e-23	4.25969622183393e-21	-1.0934
PBX1	5.71885086345465	1.09615034401752e-22	5.6054119552896e-21	-0.8727
RPL32	8.95236267899255	1.1491921153417e-22	5.8602377814743e-21	-0.7574
TTC9	3.15056836457557	1.82777922879349e-22	9.24319601131687e-21	-1.6308
PLXNB1	4.69859971245611	1.86347563817636e-22	9.39768266589714e-21	-1.0933
MEGF6	5.15571211357416	1.94264348996238e-22	9.74310427273442e-21	-0.9418
DCP1B	1.6981486359227	2.14529218169826e-22	1.07299874161872e-20	-3.1559
CELSR1	6.06167952596881	2.38067745416521e-22	1.18747671047104e-20	-0.9761
ITGB8	3.91906320237349	2.45070690586107e-22	1.21576373025543e-20	-1.4513
IP6K2	5.98769975990483	3.01043114637197e-22	1.48938837420506e-20	-0.9215
AR	0.803362891742972	4.60998450386853e-22	2.2684602992621e-20	-5.4351
SPTLC3	2.26673817283269	5.29882801400078e-22	2.60041409203221e-20	-2.2585
SCN5A	0.791810303967069	5.58643463576537e-22	2.73420779384806e-20	-5.4242
SESTD1	6.89803718509616	7.38141471191312e-22	3.60307772675631e-20	-0.7616
SEMA3C	5.50140949355442	8.16979095578627e-22	3.97727209836891e-20	-1.2199
CCDC80	7.05562620685554	9.75293034138834e-22	4.72279831067336e-20	-0.8537
LMO4	5.55280161887654	1.07802772819941e-21	5.20647465767419e-20	-0.8943
PLEKHA7	4.20266363814489	1.21269988049271e-21	5.84143773569261e-20	-1.1501
SH3RF3	3.11297541397885	1.26979760043841e-21	6.10037499831675e-20	-1.6005
HMGN2	9.33065487242025	1.29721907242952e-21	6.21575626936307e-20	-0.752
ZDHHC3	6.51169506971893	1.57195723865447e-21	7.47334670543648e-20	-0.7577
DTX4	4.53538273503678	1.57947904599821e-21	7.48960245811514e-20	-1.0626
SMIM19	3.69351782559736	1.75789078614913e-21	8.29252046303321e-20	-1.3047
RNASE1	3.78016496967484	2.58177217915823e-21	1.20853417699263e-19	-1.6925
MARCKSL1	6.06982879835638	3.22592482794159e-21	1.5023592770128e-19	-0.7868
LGALS3	5.79334539216705	5.40277052743353e-21	2.48445790299311e-19	-0.8326
NT5DC2	6.79088132130182	5.6479602523315e-21	2.59068247152171e-19	-0.7608
IRX3	4.12948341715444	6.75737707247719e-21	3.08406689587859e-19	-1.1263
GNE	3.79623051982627	8.86176322438015e-21	4.0044640946605e-19	-1.2794
CTSV	6.20821506557594	1.03379907750191e-20	4.64853102435339e-19	-0.7907
CYBRD1	6.36113528578017	1.07086375629686e-20	4.80336332554189e-19	-0.7798
ZSCAN31	5.05183431581713	1.09506953615746e-20	4.8998993755124e-19	-0.912
VAMP7	2.37404625760615	1.11465631422869e-20	4.97534613021e-19	-2.4479
GJA5	3.05908332459657	1.19763694253673e-20	5.3326975665733e-19	-1.5966
