logCPM	PValue	FDR	log2FoldChange
ID2	6.10098300713837	1.36899958243368e-74	1.14644295306923e-72	2.4965
CAMK2N1	5.8983961595271	1.47887686922414e-73	1.22719891475254e-71	2.0799
YPEL5	5.72473085616859	2.60051959395214e-73	2.14819392340227e-71	2.1164
NPC1L1	2.89758432312434	3.5027542078763e-73	2.88046309995449e-71	10.5853
SYNE2	7.94901754308851	3.58152765960928e-73	2.93203448223439e-71	1.9592
ZFAND5	9.54020895754431	8.43866161281859e-73	6.87750921444715e-71	2.1292
NR2F2	7.45882190279438	9.53946041140746e-73	7.74010618980687e-71	2.1858
ALDH1A3	9.04460754511444	3.38555514241498e-72	2.72276188017303e-70	1.9945
TNFAIP6	2.80953103001278	3.70039199814637e-72	2.96291036483158e-70	10.4953
FREM1	3.05788360778444	5.86738148850203e-72	4.67750726873769e-70	5.5137
ASS1	4.9150932431818	3.1074556898193e-71	2.45583164819659e-69	2.406
ANK3	6.08940198706599	1.22089978535988e-70	9.56598561439057e-69	2.0944
RNF213	8.97475643484558	3.51972176073673e-70	2.72271357898346e-68	1.9614
PROM2	6.35719257725531	5.1946819254102e-70	4.00143937680542e-68	2.2718
BCAT1	6.0214599309925	5.26151839441589e-70	4.03589410959901e-68	2.1334
GSTA2	2.71107928517613	3.01965977736982e-69	2.30656522575997e-67	10.3942
LGALS2	3.34647683608102	8.91936965928053e-69	6.70090586419035e-67	4.8915
ANXA9	3.89842470672708	1.17547590954509e-68	8.7948722150226e-67	3.292
MAN1A1	3.32607034498155	2.47065938650215e-68	1.84099419428503e-66	4.2362
SOD2	6.79535276143162	3.47645894868545e-68	2.57992823443909e-66	1.925
GUCY1B3	5.19244257006315	6.245555912303e-68	4.61614853178152e-66	2.1794
LINC01504	4.45763219989318	1.26110063733106e-67	9.28332791738539e-66	3.1611
GBP2	5.49848615306551	2.39909462587492e-67	1.7519148595989e-65	2.3415
CABP1	2.68968505632674	6.03683790713701e-67	4.37335368383703e-65	10.3722
MGAT4B	7.44873889280815	2.65697781373534e-65	1.90967665226584e-63	1.8802
BMF	5.79815437970888	4.02991066503866e-64	2.86264782493953e-62	2.2068
WDR91	4.36620694937643	4.19244143243198e-64	2.96655855777047e-62	2.6598
SCN9A	3.17848825878243	1.77062170064443e-63	1.24804902575153e-61	4.2631
LOC101927811	2.99692584817478	1.8697817025634e-63	1.31287441392298e-61	4.9154
METTL7A	3.99030563930303	2.49752635829803e-63	1.74692878149765e-61	3.0509
TNFRSF19	2.97513143013955	5.96045282250866e-63	4.13741546493225e-61	5.427
GATA2	4.74911688443081	8.12159145239211e-63	5.61620354374509e-61	2.4732
GPX2	3.92126837790292	1.85348163737772e-62	1.27207371323187e-60	2.9756
HSPB8	4.1409232571425	4.73169360098599e-62	3.17580141101471e-60	2.7252
LRRC75B	3.45148749076063	6.05052678504595e-62	4.04609586035893e-60	4.5519
ALDH1L2	3.68724399374526	9.24853907524641e-62	6.12856457514117e-60	3.368
SLC16A4	5.30175214350362	9.26535836294348e-62	6.12856457514117e-60	2.0631
SGK2	4.4916710615351	1.15723103503867e-61	7.59942797685827e-60	2.5254
CITED4	3.65924728074952	1.35307669791067e-61	8.85368035736814e-60	3.4474
JUNB	6.30372310151114	2.33203366054069e-61	1.5150749646559e-59	1.8977
ANXA13	2.7067680619029	5.81613946666335e-61	3.75192374923696e-59	5.9821
BTG1	6.4328120767644	8.72314740034888e-61	5.60738658242145e-59	1.8132
