logCPM	PValue	FDR	log2FoldChange
CYP4F3	3.74123996962991	1.94534324475431e-20	1.61428119437431e-18	-1.3861
HERC2P2	4.97818141185302	2.17154309681863e-20	1.79383216178827e-18	-1.0222
CYSRT1	3.32488767370086	2.418442856996e-20	1.9887879638432e-18	-1.4701
ACAA1	4.79100034127678	4.48227895895552e-20	3.6207294103846e-18	-1.0623
TTC9	3.14685632090533	4.56055483069199e-20	3.66773079247194e-18	-1.6153
UBXN11	3.90706228021168	4.58775537668642e-20	3.67342377880646e-18	-1.2451
EPHA4	3.16822877670372	4.97825677875781e-20	3.96869239096081e-18	-1.5268
BRK1	6.63254024001445	5.60574457779813e-20	4.44949882662099e-18	-0.9015
MUC1	2.7576549519412	6.87535376090733e-20	5.36395120765488e-18	-1.7722
ABHD14B	4.75957158003408	7.55734699252614e-20	5.84605621591344e-18	-1.0016
DYNC1H1	9.81609721304607	9.51970554362462e-20	7.30217413463912e-18	-0.9215
GCNT1	3.78446053013707	9.79061364023101e-20	7.44739344233573e-18	-1.2734
ZFYVE21	5.53337988266326	9.94988701585758e-20	7.50599741163207e-18	-0.9284
GLRX	3.80476488515451	1.1059354362521e-19	8.30862441325855e-18	-1.3546
CA12	2.78490995732767	1.14899778556729e-19	8.59676375955591e-18	-2.1629
ISCA2	5.50814392613247	1.52319258878934e-19	1.13499607758931e-17	-0.9414
MST1R	4.39858374514889	1.69480824169925e-19	1.25264855305512e-17	-1.0963
TACSTD2	8.2021122149566	1.72102884470871e-19	1.26689929794364e-17	-0.8086
PROX2	1.73431965344548	1.755903285139e-19	1.28530830028026e-17	-2.7193
ARHGEF19	4.08077688287647	2.81639946665878e-19	2.0242593961938e-17	-1.1712
EPHX3	2.62530773699233	3.2750569845909e-19	2.34468393375261e-17	-1.9221
GATM	2.81304099451397	3.36762192109617e-19	2.40153538248171e-17	-1.6897
LLGL2	5.07458641862533	3.78876639930037e-19	2.6913509488571e-17	-0.9466
BATF	4.02348814368228	4.42916460575379e-19	3.13406314118764e-17	-1.3697
WFDC2	4.98084328616628	4.51084119436067e-19	3.1795334688899e-17	-1.0856
MARK3	6.93364225227232	5.96157228649553e-19	4.18594091008702e-17	-0.8051
BLVRB	6.05235073013086	6.46012231969284e-19	4.51862042407328e-17	-0.8656
PELI2	2.48197919001893	6.66614256820594e-19	4.62726611122311e-17	-1.8889
PLAT	4.01229526529291	8.23916995268409e-19	5.65467243068424e-17	-1.1614
CADM4	5.76641790893987	9.68160452981483e-19	6.5950512050858e-17	-0.9035
PAG1	1.88971961649586	1.16883583289716e-18	7.84495109020977e-17	-2.4555
CLU	7.03717091187609	1.27201836670779e-18	8.5062151291639e-17	-0.8085
