Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa05132	Salmonella infection	Infectious disease: bacterial	93/2118	1.13706708982894e-06	6.38123499524813e-07	3576/3553/330/834/4792/5287/3569/837/8743/9267/8767/8795/5606/7184/23643/838/2353/9367/257364/127829/5058/9648/3551/51626/8976/5603/7132/10810/6300/64746/7100/83439/89953/23339/5869/929/10671/10392/8797/5217/5608/5290/10627/1785/6934/5879/83658/6237/5595/10092/329/10398/5293/578/347733/257397/6993/5600/23265/51135/1780/10333/27128/23207/841/55770/103910/4636/6885/5868/840/5420/10000/1432/51429/9266/10120/653857/5599/5970/7186/4646/5291/5604/375/5286/4790/64601/23118/57617/60412/10454/7189	93
hsa04360	Axon guidance	Development and regeneration	73/2118	1.21146064110634e-06	6.79873255284918e-07	7869/27289/1942/9423/10509/23654/5361/2770/4776/54910/5364/56924/4756/6714/54361/4690/57522/6405/5058/9901/64218/84612/54961/55558/5365/2534/10505/10501/5880/59277/5881/10507/5290/10627/2050/1943/7474/10512/5879/1969/22885/6237/5595/10398/4233/5293/1946/1949/1944/10500/5727/6469/10298/659/57715/3688/23365/23380/103910/7220/4636/2049/5747/658/8440/85464/5291/219699/9353/5362/90249/8503/56963	73
hsa05222	Small cell lung cancer	Cancer: specific types	44/2118	1.27334508649514e-06	7.1460288488276e-07	5743/330/4792/3914/2335/3918/317/3915/1282/3913/9618/10319/6256/3911/3551/1026/1027/842/5290/1647/3685/7188/329/5293/578/3675/4843/1284/7157/3910/3688/10000/2272/1643/5747/5728/3674/5970/7186/5291/4790/3912/8503/7189	44
hsa05231	Choline metabolism in cancer	Cancer: overview	46/2118	1.27334508649514e-06	7.1460288488276e-07	56261/5900/5337/1606/2353/204962/7248/123745/6655/6667/10810/5321/5880/1609/5881/283748/5290/255189/23446/80310/5879/6654/5595/5293/5155/6584/56994/1950/10163/126969/2885/8526/10000/3091/80736/5599/5582/5291/5604/57153/1608/1120/1607/8394/10434/8503	46
hsa05145	Toxoplasmosis	Infectious disease: parasitic	50/2118	1.65822449024533e-06	9.30597696633966e-07	330/6774/4792/3914/3588/2770/5606/4261/23643/3918/3915/3459/958/3913/10319/8651/3911/3551/5603/7132/3717/6300/6772/3123/842/3460/5608/3716/5595/329/4843/5600/240/51135/3910/841/3688/6885/10000/1432/5599/5970/7040/3587/4790/3912/23118/3117/10454/7189	50
hsa04931	Insulin resistance	Endocrine and metabolic disease	49/2118	1.65822449024533e-06	9.30597696633966e-07	3643/9021/6774/4792/9945/3569/2673/64764/5562/5465/5106/5564/6196/79660/5500/2998/376497/3551/51085/7132/27330/7376/2997/5563/5290/5507/5580/6513/5293/32/6197/5509/5565/2308/4846/200186/10000/5728/5599/5970/92579/5291/4790/1375/57761/148327/11000/5792/8503	49
hsa05167	Kaposi sarcoma-associated herpesvirus infection	Infectious disease: viral	76/2118	1.68798425701476e-06	9.47298915661249e-07	718/3576/2919/2921/3383/5743/6774/2920/3455/4792/7422/3569/9641/4067/4776/6773/637/6714/10379/54331/3105/2353/7098/3459/29110/3551/3665/1026/5603/7132/3717/6300/3710/3106/6772/83439/842/5608/5290/3716/3107/6934/5879/59345/5595/5293/5155/578/6850/10681/355/5600/7157/3454/841/131450/10000/3091/1432/3133/1437/5599/81631/2792/5970/7186/5291/5604/4790/1827/3709/7538/344807/2783/8503/5610	76
hsa04068	FoxO signaling pathway	Signal transduction	56/2118	3.01601060506802e-06	1.69258899419865e-06	6648/6446/23710/3643/604/6774/3569/8743/5562/901/664/5106/5564/4088/116986/4193/3551/6655/1026/5603/5934/6300/1901/1027/5563/5290/673/2309/4303/3575/1647/1454/6654/5595/5293/114907/10018/5600/5565/1950/2308/1263/11337/2885/10000/100132074/1432/5728/5599/11345/92579/5291/5604/7040/2911/8503	56
hsa04142	Lysosome	Transport and catabolism	56/2118	3.01601060506802e-06	1.69258899419865e-06	135112/27074/4891/1520/7805/20/2581/2517/10312/23312/1514/1508/5660/2548/8722/9583/3073/968/10717/1509/950/1512/410/9741/5641/138050/3425/4669/427/2799/26088/53/2990/9516/535/1075/22901/4668/26503/2720/8763/1174/6609/51606/55353/23659/1513/4864/23163/533/6448/3920/537/175/2588/1510	56
hsa04625	C-type lectin receptor signaling pathway	Immune system	47/2118	3.05678487985295e-06	1.71547156915758e-06	3553/5743/51561/834/4792/4791/602/3569/9641/4776/6773/868/6714/4193/10379/3659/8844/5058/3551/5603/6300/3710/6772/5290/5580/6237/5595/5293/5971/6850/64170/5600/64581/1263/841/23365/10000/1432/6361/5599/1959/5970/22808/5291/4790/3709/8503	47
hsa05162	Measles	Infectious disease: viral	57/2118	6.4069702116381e-06	3.59559984575474e-06	3552/3553/4939/4938/4600/4599/6774/3455/4792/4940/6776/7128/3569/9641/6773/637/868/27113/64135/10379/3718/2353/317/9367/896/29110/3551/3665/9451/6772/1027/842/4179/3561/5290/3716/5293/578/103/355/51135/7157/3454/3560/841/6885/10000/5599/5970/5291/6777/4790/23118/8503/27102/5610/7189	57
hsa04722	Neurotrophin signaling pathway	Nervous system	51/2118	6.60191160109158e-06	3.70500120188668e-06	4792/3656/4217/8767/4794/9500/6196/2889/3551/5663/6655/10603/5603/6300/27330/4909/10019/2549/5290/673/2309/4804/25759/5879/5580/6654/4214/5595/5293/6197/5600/51135/7157/11108/2885/53358/10000/9252/1432/399694/5599/5970/11213/5291/5604/4790/6464/1399/10782/8503/7189	51
hsa04064	NF-kappa B signaling pathway	Signal transduction	46/2118	7.97544967083325e-06	4.47583251662112e-06	3576/2919/3553/2921/3383/5743/330/597/3929/2920/4792/4791/7128/4067/79092/3554/23643/84433/958/3551/29760/7132/929/10673/1647/7188/1896/10913/8740/329/29775/5971/6850/257397/51135/10848/4055/6885/55367/5970/7186/4790/128178/23118/10454/7189	46
