logCPM	PValue	FDR	log2FoldChange
PTPRG	5.12861939345764	4.15184911585963e-37	1.02565842299233e-35	-1.4238
FOSL1	7.43822235201858	4.60463322090572e-37	1.13597546055209e-35	-1.8381
CENPE	7.08895094465895	4.62590063989777e-37	1.13968207937886e-35	-1.4262
SDPR	1.67323343383913	5.93449469309076e-37	1.45228063159604e-35	-5.8223
CDC6	6.31251387245641	8.78630243857537e-37	2.14442162190684e-35	-1.2048
FHOD3	4.36902931889452	1.05943299184466e-36	2.57880115988215e-35	-1.9006
HSPA4	8.39774742951442	1.23961047659201e-36	3.00535575838828e-35	-1.258
GFM1	6.57453256161628	1.32629408646905e-36	3.19852375727597e-35	-1.2
EYA1	2.07845340445351	1.42194058302536e-36	3.41565095838303e-35	-4.5468
PAK1IP1	5.30164765355751	1.56973245012639e-36	3.76076582801933e-35	-1.426
OSGEP	4.23693101409676	1.68084068253333e-36	4.0216811927036e-35	-1.7624
TFRC	9.06984171499502	1.73421195036721e-36	4.13853246613122e-35	-1.3702
RANBP1	7.88698320670557	2.104456808879e-36	5.00246920610612e-35	-1.215
PTRF	6.38145447399894	2.48525809378711e-36	5.89232100781527e-35	-1.2837
FTSJ3	6.77637241484812	3.69629485238375e-36	8.72956776521576e-35	-1.4365
SRSF1	8.66100212765389	3.7372309683955e-36	8.81484348307858e-35	-1.2379
ATAD3B	4.95277976873141	4.79131804855266e-36	1.12429694465781e-34	-1.5583
LONP1	6.25718891850407	5.12778674437754e-36	1.19862835858331e-34	-1.2569
TMX3	5.48348944481233	5.94404283379485e-36	1.38588053606333e-34	-1.4338
MPP5	7.30697264273786	6.46667787384133e-36	1.50198055044335e-34	-1.2159
NOL10	6.07762654188211	7.74030972396023e-36	1.78869739646352e-34	-1.2814
CLTB	5.61086171711561	7.97375622182544e-36	1.84031471031157e-34	-1.452
WDR4	4.02199661722848	9.16088197359199e-36	2.11162956199363e-34	-1.8209
SKA3	5.0631775031726	1.09892039177727e-35	2.52350826066489e-34	-1.406
