Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa03020	RNA polymerase	Transcription	20/2024	4.16712870843833e-05	3.28349965161402e-05	5435/51728/5437/171568/51082/84172/5440/5434/5441/5439/55718/10622/5432/9533/5433/64425/11128/5436/661/5438	20
hsa04714	Thermogenesis	Environmental adaptation	80/2024	8.36803554618892e-05	6.59361486602656e-05	5606/5603/5468/51703/55967/7388/1537/4715/29078/7384/137682/23028/1376/788/4702/4706/9377/4725/86/388753/29796/65260/4708/6603/4217/4716/6392/64223/4726/440567/1347/6390/4722/6389/25915/4713/10063/4701/1345/27089/4712/6300/374291/4705/4711/79133/91942/51548/2885/1349/1350/7381/1374/7386/84987/4717/5566/109/4724/4881/6602/4695/4729/4710/1329/4694/6194/6597/7385/5571/6195/6599/4720/4718/1337/1327/4704/10975/3991/4709	80
hsa05132	Salmonella infection	Infectious disease: bacterial	84/2024	9.99977760803437e-05	7.87935016878887e-05	3320/3831/1778/5606/5603/5420/81873/3654/10383/2353/10093/55845/51143/5585/207/5605/10552/7295/84790/29109/5894/3326/387/5608/6932/388/8797/7099/375/197259/8677/5216/10095/7184/54205/581/4615/2597/8655/25828/10376/3725/140735/1434/578/4609/127829/1785/6300/10109/3840/8795/11258/391/5609/841/7097/79443/1499/5868/3553/10381/64837/23265/7132/114609/5878/10454/8517/83658/596/6281/51429/57180/6934/10671/55207/382/5601/27128/10810/23191/4074/1147	84
hsa03410	Base excision repair	Replication and repair	23/2024	0.000102769531331166	8.09775132788928e-05	4595/4913/3146/54107/2237/252969/5984/5982/5111/5985/56655/5983/143/10038/4350/4968/54840/328/5428/8505/55247/55775/5425	23
hsa01230	Biosynthesis of amino acids	Global and overview maps	33/2024	0.000146045803673687	0.000115077162006343	5723/3419/445/29968/1431/29920/84706/7086/226/2806/5230/7167/2026/2597/2023/6472/6470/5634/50/3421/5223/5831/2805/48/3417/113675/5091/5832/2027/3420/22934/5214/4144	33
hsa00230	Purine metabolism	Nucleotide metabolism	49/2024	0.000146385158390124	0.000115344557417226	9615/4907/5138/5144/3615/3614/955/4830/205/4860/203/3251/5152/7498/10606/5151/2987/6241/353/204/8833/158/10201/5198/5634/471/8622/5142/50808/6240/1716/109/4881/11164/284958/5137/84284/3704/318/374659/271/4831/124583/5236/56953/377841/5471/954/5147	49
hsa05169	Epstein-Barr virus infection	Infectious disease: viral	70/2024	0.000192635747972981	0.000151787826969887	6850/7431/896/5606/5603/7187/3654/8503/3280/11047/9861/5708/22938/965/207/10213/960/5608/637/3119/1869/5718/890/3065/5719/3123/5704/10912/54205/581/4615/5717/7874/3725/8819/5701/5709/578/4609/1643/1019/5714/5707/6300/9636/1870/5710/5713/5705/5609/841/7097/4938/1871/5702/5700/898/7128/10454/8517/4793/596/3107/3661/9641/930/377841/5601/3105/1147	70
hsa00240	Pyrimidine metabolism	Nucleotide metabolism	27/2024	0.000235929632246724	0.000185901353063284	4907/955/4830/79077/1841/1503/51727/54963/6241/83549/1854/10201/7083/51251/7372/7084/790/6240/1723/284958/115024/318/4831/124583/7371/56953/377841	27
hsa05017	Spinocerebellar ataxia	Neurodegenerative disease	52/2024	0.000473103592009796	0.000372783177154053	8503/10528/5690/11047/9861/10105/6511/292/5708/207/7416/10213/5686/5688/5687/5718/5693/5719/4976/4217/5704/54205/5717/5685/2902/5701/5709/5715/3708/3710/5689/5714/5707/5710/60673/5682/5713/7419/5705/5695/5702/291/5700/7494/5692/11273/5331/5694/2259/5601/5683/9519	52
hsa05210	Colorectal cancer	Cancer: specific types	35/2024	0.000679788816255769	0.000535641324643274	8503/7048/2353/7039/374/332/4292/207/5605/5894/5880/387/6932/26060/10912/54205/581/3725/2069/578/4609/1643/5881/2885/1499/5900/596/6934/4437/7043/8312/8313/5601/4436/10297	35
hsa03015	mRNA surveillance pathway	Translation	39/2024	0.00123528009712904	0.000973342090527601	5527/10189/2733/80335/5519/8761/5976/55110/26528/4116/29894/53918/29107/10978/22916/4686/5522/5515/5501/1478/23381/9939/5528/10898/29101/9775/26986/10921/1479/55012/2935/8106/2521/5411/5525/55339/51692/55844/2107	39
hsa03420	Nucleotide excision repair	Replication and repair	27/2024	0.00123528009712904	0.000973342090527601	5435/5887/54107/5437/5984/5886/5440/5434/5982/5111/5985/5441/5439/9978/1643/56655/5983/5432/7507/5433/1642/2071/5436/6118/728340/5438/5425	27
