logCPM	PValue	FDR	log2FoldChange
NUDCD1	6.41847686275479	1.52458276372769e-10	4.00471696900903e-09	0.5942
HEG1	5.61253341400285	1.65083241887032e-10	4.31153027738149e-09	0.7177
ITGAV	6.5014785927271	1.717874787414e-10	4.47382626519687e-09	0.7432
CHD9	5.53409853980546	1.77941775854171e-10	4.62091758178341e-09	0.6386
ABHD13	4.77816375005538	1.78647890963307e-10	4.63266462702575e-09	0.8664
SIX4	5.60920994068127	1.79326686924491e-10	4.63709347945255e-09	0.6373
C10orf2	4.76242452044398	1.80330615723369e-10	4.65645787927274e-09	0.7177
SGTB	4.30070333188522	1.95837813599402e-10	5.04261653747628e-09	0.776
KIAA1324L	3.75873036534286	2.17806822898988e-10	5.58466482983698e-09	0.8628
HMGA2	6.69459141385219	2.25207645312511e-10	5.74216588383407e-09	0.7481
FUT9	5.35390251143908	2.46810453137006e-10	6.2580161562072e-09	0.6411
C12orf75	1.44360252634256	2.69142567417876e-10	6.79594289181291e-09	1.951
ZNF853	4.69972162052304	2.91038669190628e-10	7.3285544065436e-09	0.7755
DNAJC3	5.59822735490691	3.01936997812183e-10	7.58206579375407e-09	0.6875
TRIM14	5.66675623793639	3.03860296765591e-10	7.61988128812175e-09	0.6555
BAZ1B	8.35273864967506	3.10135641536908e-10	7.76657924814512e-09	0.5901
ATRX	7.32675465828613	3.11977441005541e-10	7.80200022328379e-09	0.5596
NLN	7.18063568986102	3.18034148869093e-10	7.9317369149647e-09	0.6169
AKAP11	5.92505610270284	3.19338186944032e-10	7.95339418942734e-09	0.6363
CDK12	7.40742736104976	3.20829133472971e-10	7.97964122708796e-09	0.5707
ZNF714	4.39358264164843	3.22652213700681e-10	8.01406641267978e-09	0.7558
PLEKHG4B	0.0248213215424937	3.36917915690725e-10	8.33438139410553e-09	3.3273
LIG4	4.55808252922654	3.44439165460878e-10	8.50890582497129e-09	0.8863
MAK16	5.13170302814204	3.4918933610728e-10	8.61459529726285e-09	0.7235
RFC1	7.12176190957	3.73778601068256e-10	9.17164266277163e-09	0.5582
FAM126A	6.30618343591318	4.04449542530642e-10	9.88437864583589e-09	0.7726
PPM1H	4.69247997837492	4.23020825539389e-10	1.02968909213961e-08	0.7422
SPIRE1	5.19407900479239	4.3435209259716e-10	1.05586308954111e-08	0.6373
PHLPP2	4.10707703682238	4.40023132635359e-10	1.06680774361104e-08	0.7693
BMP7	0.381949853767072	4.40706555047128e-10	1.06704759535018e-08	2.8154
PABPC4L	1.63759988329332	5.00879203853875e-10	1.20770124737961e-08	1.6739
SLC25A15	4.44636577645591	5.2602745829409e-10	1.26191291440432e-08	0.7145
LOC441666	4.09916206630282	5.48294032162837e-10	1.31016437842471e-08	0.9039
COL26A1	0.745706923092767	6.05944834624188e-10	1.44038136730458e-08	2.281
RNF219	4.88897394180913	6.29838754074409e-10	1.4952322879561e-08	0.798
PALM	0.97628448122446	6.33227893935214e-10	1.50132577034822e-08	2.2414
WDR43	7.29075234469941	6.77318468877733e-10	1.59756149455193e-08	0.5945
MCOLN2	-0.13227235158654	7.10192969227823e-10	1.67078387193597e-08	3.7434
SLC7A11-AS1	2.29522072579676	7.11406294781792e-10	1.67148433945127e-08	1.365
CD22	3.66338809626624	7.17015918357963e-10	1.68249904955565e-08	0.9356
FAM43A	4.552129368115	8.00261801493346e-10	1.86647824744211e-08	0.7312
SLC7A11	9.24255363218529	8.03998026615284e-10	1.87216683340416e-08	0.6548
SMCHD1	7.56575949139024	8.07187811448262e-10	1.87720008736299e-08	0.5554
MOB1B	5.6011702849347	8.0833480134544e-10	1.87747584393923e-08	0.6663
PWWP2A	5.26917219617997	9.17686453575157e-10	2.12335664087048e-08	0.6215
C18orf25	5.48057398477381	9.22900622817311e-10	2.13271819875352e-08	0.6293
NFE2L3	7.20455556335394	9.40918416699744e-10	2.16886447162507e-08	0.6309
GRAMD1B	3.00384536539598	1.06245606535914e-09	2.43670828256238e-08	1.041
XPOT	8.00064180678083	1.11538908600402e-09	2.54850352366576e-08	0.5744
UBXN7	6.16252620390162	1.11942234872172e-09	2.55452179978297e-08	0.7098
APLN	1.267751591257	1.13987347579099e-09	2.59729430749804e-08	2.1505
ADGRV1	1.32813680947851	1.15479890150503e-09	2.62540582140421e-08	1.9247
SETX	6.31376638936833	1.1848123049399e-09	2.6902902287292e-08	0.5712
SLC44A5	-0.10834895936237	1.20257801036329e-09	2.72723778350214e-08	3.7731
VPS13A	6.97002457939268	1.27429705078269e-09	2.88272205193169e-08	0.5691
GALNT14	2.98623124917903	1.30873620013156e-09	2.95696634524775e-08	1.0466
SLC16A1	7.41577523755867	1.47472637245359e-09	3.30338707429605e-08	0.541
ITPR2	5.46656520278936	1.48027842161787e-09	3.31176015503136e-08	0.6122
SH2B3	3.68422660110895	1.49216599428453e-09	3.33426957058241e-08	0.9047
GPR161	3.33199555934176	1.68852390212745e-09	3.75465193145417e-08	1.0008
RELB	2.15946140461058	1.79059642885247e-09	3.96712723363236e-08	1.4656
EPDR1	3.45937141574265	1.80765866485194e-09	4.00007473764085e-08	0.9388
RBM26	6.70631839387457	1.84864415699221e-09	4.08581691647092e-08	0.7299
PLCXD2	1.84412411923198	1.85187591565198e-09	4.08801048562787e-08	1.5108
HOOK3	5.16971019301882	1.8636625319025e-09	4.10612185554145e-08	0.6713
TSR1	6.77675961607789	1.86457877861736e-09	4.10612185554145e-08	0.5854
MFHAS1	4.61784249231463	1.8836881501137e-09	4.13822032111621e-08	0.7442
CHAMP1	5.38267130200657	1.90175577479396e-09	4.16788156358206e-08	0.6525
NLK	5.22270586572278	1.9087870546972e-09	4.17327143359905e-08	0.6348
KIFC3	4.94060399650647	1.96365442744109e-09	4.27276224402438e-08	0.6269
ZNF117	4.6865382988155	2.25352620152567e-09	4.86292840839866e-08	0.6569
AMER1	4.64234146427519	2.26793622572453e-09	4.88824601379305e-08	0.7255
