GENE	104307-001-001R	104307-001-072	104307-001-040	104307-001-081	104307-001-033	104307-001-049	104307-001-089	104307-001-009	104307-001-065	104307-001-017	104307-001-025	104307-001-057
ENSG00000010318.20	144	93	79	78	39	32	81	62	116	135	29	26
ENSG00000010319.6	610	25	258	88	608	7	53	863	154	201	151	19
ENSG00000010322.15	1678	924	918	1420	1231	504	1099	1886	1027	1526	1807	431
ENSG00000010327.10	3356	655	620	3880	1256	481	1371	2885	1177	1792	1791	195
ENSG00000010361.13	179	37	68	105	88	41	88	97	111	137	75	65
ENSG00000010379.15	767	34	223	789	218	101	133	308	178	410	79	70
ENSG00000010404.17	354	485	973	363	850	273	266	1223	679	586	1465	228
ENSG00000010438.16	316	67	109	142	35	61	111	212	36	91	45	167
ENSG00000010539.11	102	173	102	78	122	54	122	194	85	121	103	54
ENSG00000010610.9	906	539	843	410	826	385	206	849	1283	1249	1042	356
ENSG00000010626.14	45	53	193	43	177	58	27	324	62	70	116	35
ENSG00000010671.15	168	80	27	49	79	22	5	34	72	46	45	2
ENSG00000010704.18	419	80	190	268	310	101	147	202	261	379	190	75
ENSG00000010803.16	1134	1302	758	791	617	530	854	1266	622	1130	1058	205
ENSG00000010810.17	1067	473	1730	672	1546	340	232	2096	1106	1264	1798	299
ENSG00000010818.9	362	1017	3509	196	1385	901	421	2583	790	711	3183	657
ENSG00000010932.16	17	4	7	0	49	10	0	14	12	25	18	0
ENSG00000011007.12	865	969	1523	906	874	772	1092	1616	803	670	2065	673
ENSG00000011009.10	1185	1030	872	1329	658	1483	1436	1158	965	1089	1492	1204
ENSG00000011021.22	751	650	538	382	361	424	351	674	240	566	842	306
ENSG00000011028.13	659	499	774	196	943	156	57	1327	673	647	1335	99
ENSG00000011052.21	5	1	3	4	4	11	15	12	5	6	22	11
ENSG00000011083.8	16	8	0	0	0	0	0	0	5	2	0	0
ENSG00000011105.13	1415	1370	1211	1873	1315	1791	1424	1646	1623	2056	1568	1277
ENSG00000011114.14	787	633	992	539	559	534	342	1218	449	596	1298	397
ENSG00000011132.11	312	328	136	204	180	178	369	190	130	235	270	116
ENSG00000011143.16	110	63	73	188	86	17	91	55	53	168	25	2
ENSG00000011198.9	305	523	641	296	365	642	489	699	358	325	636	609
ENSG00000011201.11	78	1	104	16	78	25	4	105	48	39	87	2
ENSG00000011243.17	1692	1188	1021	1663	858	1033	1931	1354	656	1320	1462	904
ENSG00000011258.15	354	171	285	398	273	189	221	246	245	404	309	241
ENSG00000011260.13	251	394	619	287	348	324	316	441	326	334	1021	298
ENSG00000011275.18	850	769	626	567	486	518	742	1191	469	525	1606	407
ENSG00000011295.15	481	513	575	506	588	491	564	559	692	664	635	290
ENSG00000011304.19	1579	3364	3364	1690	2087	3750	2731	2825	1846	2241	4998	3898
ENSG00000011332.19	14	5	11	0	0	6	0	11	1	0	12	0
ENSG00000011347.9	838	820	712	947	426	1352	556	176	1557	334	195	1228
ENSG00000011376.10	344	341	240	245	289	158	171	174	177	424	261	132
ENSG00000011405.13	672	741	1210	664	942	587	508	1183	624	773	1477	585
ENSG00000011422.11	862	772	902	179	753	184	170	2340	1036	807	1056	127
ENSG00000011426.10	19	0	20	17	0	18	9	26	6	19	55	0
ENSG00000011451.19	424	597	594	438	320	302	551	779	400	417	1314	245
ENSG00000011454.16	503	350	674	419	691	238	273	962	443	676	919	235
ENSG00000011465.16	4554	5665	14247	3452	18722	1931	1658	18603	12852	7421	12144	1308
ENSG00000011478.11	177	162	86	196	51	94	228	38	93	176	180	59
ENSG00000011485.14	673	898	926	820	649	552	627	747	575	822	1353	491
ENSG00000011523.13	214	132	149	183	265	32	121	251	180	246	116	0
ENSG00000011566.14	854	456	862	350	729	339	257	763	497	770	418	290
ENSG00000011590.13	26	3	3	8	27	0	2	37	1	11	11	0
ENSG00000011600.11	885	162	277	156	328	130	118	681	280	231	439	130
ENSG00000011638.10	65	44	128	57	267	13	16	349	131	69	168	29
ENSG00000011677.12	22	2	1	1	4	16	0	0	2	0	0	3
ENSG00000012048.21	44	25	35	532	61	35	400	108	34	56	5	37
ENSG00000012061.15	592	584	537	402	523	632	315	848	481	544	716	537
ENSG00000012124.16	169	17	9	15	14	9	18	90	40	39	26	0
ENSG00000012171.19	3569	199	1018	211	572	75	72	2130	265	466	862	80
ENSG00000012174.11	242	188	238	195	303	169	199	132	243	304	189	75
ENSG00000012211.12	172	129	113	51	110	52	89	138	72	108	211	24
ENSG00000012223.12	398	32	6	12	38	8	26	218	28	48	58	10
ENSG00000012232.8	365	676	472	339	333	443	516	788	363	418	616	361
ENSG00000012504.14	2111	896	1614	2694	1812	728	2637	1249	1743	1974	878	401
ENSG00000012660.13	761	2296	2216	543	1347	1732	770	1614	1121	1537	3095	1581
ENSG00000012779.10	327	150	266	154	328	36	166	605	234	310	435	67
ENSG00000012817.15	752	320	580	807	799	198	391	678	575	1029	538	97
ENSG00000012822.15	804	289	824	877	1193	189	447	1026	854	1355	842	120
ENSG00000012963.14	140	202	323	165	213	192	185	316	266	181	207	214
ENSG00000012983.11	448	579	1121	321	700	338	293	1193	408	413	900	430
ENSG00000013016.15	88	90	119	212	132	19	28	180	160	83	152	1
ENSG00000013275.7	1477	1296	1139	886	806	928	963	1802	825	758	1500	902
ENSG00000013288.8	1098	486	1284	926	1127	455	512	951	819	1219	935	484
ENSG00000013293.5	1	17	0	0	0	3	0	3	2	5	0	2
ENSG00000013297.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013306.15	1768	1053	837	1503	790	1104	1707	1070	862	1018	1332	1060
ENSG00000013364.18	3486	2475	1730	2172	1969	1167	2237	3256	1452	2100	2841	1102
ENSG00000013374.16	759	1591	815	693	987	588	877	932	708	841	1270	507
ENSG00000013375.15	292	1208	1258	604	909	839	391	839	730	497	1986	760
ENSG00000013392.7	73	87	115	97	98	41	51	95	114	116	132	18
ENSG00000013441.15	1479	719	1731	1387	2067	690	1820	2574	1644	2405	1925	621
ENSG00000013503.9	349	243	196	272	286	163	193	118	237	261	167	114
ENSG00000013523.9	559	223	237	429	316	92	322	351	288	495	201	93
ENSG00000013561.17	459	414	346	264	383	313	424	218	452	571	323	205
ENSG00000013563.13	336	161	159	356	235	81	189	179	220	307	192	49
ENSG00000013573.16	209	58	182	208	169	91	82	133	75	310	269	55
ENSG00000013583.9	502	547	747	1343	940	711	1167	476	1034	818	706	596
ENSG00000013588.8	257	70	591	19	397	63	13	1547	306	539	886	90
ENSG00000013619.13	193	316	674	113	356	201	51	985	342	208	719	119
ENSG00000013725.14	209	209	249	12	205	50	14	433	201	181	321	18
ENSG00000013810.18	408	116	124	186	186	67	155	330	145	158	294	72
ENSG00000014123.9	634	388	407	585	692	189	354	491	527	618	253	90
ENSG00000014138.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000014164.6	804	424	486	1655	422	219	1133	716	283	321	499	166
ENSG00000014216.15	1133	1502	1793	1820	1830	890	1384	2113	1427	1525	2198	812
ENSG00000014257.15	7	0	10	19	36	5	0	0	1	2	0	0
ENSG00000014641.17	1377	1399	1657	1821	1596	1465	1350	1010	1832	2080	1439	1356
ENSG00000014824.13	693	309	607	427	624	322	294	413	639	729	419	232
ENSG00000014914.20	121	214	111	102	159	67	75	129	196	344	168	148
ENSG00000014919.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015133.18	414	165	381	179	455	66	98	390	312	314	337	30
ENSG00000015153.14	770	426	390	440	536	498	401	746	481	619	554	380
ENSG00000015171.19	606	657	1065	661	1197	330	614	995	834	869	1005	223
ENSG00000015285.10	223	98	137	179	81	70	41	240	155	208	215	26
ENSG00000015413.9	248	16	62	27	59	3	4	434	53	57	92	0
ENSG00000015475.18	454	719	490	419	304	619	776	810	411	435	483	605
ENSG00000015479.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000015520.14	464	536	229	768	191	1053	784	607	344	1020	816	914
ENSG00000015532.9	387	246	114	396	327	105	173	170	292	438	254	47
ENSG00000015568.12	12	15	6	7	4	4	2	8	5	13	8	2
ENSG00000015592.16	7	0	4	0	9	3	0	0	1	0	25	0
ENSG00000015676.17	921	893	624	769	839	496	801	967	822	1046	756	410
ENSG00000016082.14	0	0	0	0	0	0	0	0	0	0	0	0
